"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
81,"Quak et al. 2016",NA,"sediment","surface scrape","PVC scoop",NA,NA,"Tropical",2016,"2012","Seagrass",NA,"Among sites",80,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local seagrass, seston, terrestrial, mangrove","0.05-0.1",0.075,20,24,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,61,24,16,76,"MAD",10,16,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,"Ocean sediment class excluded here","Bayesian Mixing Model","SIAR","Yao Tai Island","Thailand",7.916667,98.583333,NA,NA,NA,NA,NA,NA,NA,NA,"Rubber plantations in catchment","Yes (Figure 1 & 2)","Stable isotopes (C13 & N15)","2 isotope, 5 member, SIAR mixing models",NA,NA,"Reported seston, moved to SPOM"
83,"Rahayu et al. 2019",NA,"sediment","coring","AMS gouge auger","Not described","Not described","Tropical",2019,"2015","Seagrass","Barranglompo","Among sites",2000,4,NA,NA,NA,1.035,0.6125,"SD",NA,NA,NA,0.185202591774521,0.293413814716803,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seagrass, mangrove, terrestrial, coastal POM","0-0.55",0.2525,66.455,7.8075,NA,NA,NA,NA,17.93,8.8025,NA,NA,NA,NA,NA,34.54,7.8075,2.58,92.1925,"SD",21.4842958150056,1.69218547052817,NA,NA,NA,NA,NA,3.36134273765708,3.36134273765708,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model (SimmR)","SIMMR","Sulawesi","Indonesia",-5.05,119.325,NA,NA,NA,NA,NA,NA,"Enhalus acoroides, Thalassia hemprichii, Halophila decipiens, H. ovalis, Cymodocea rotundata, Halodule uninervis, H, pinifolia, Syringodium isoetifolium",NA,NA,NA,"Stable isotope (C13) & C:N ratio","1 isotope & C:N ratio; four member, Bayesian SIMMR",NA,NA,NA
88,"de los Santos et al 2023",NA,"sediment","coring","Push Corer","1700","48","Temperate",2023,"2018","Seagrass",NA,"Among sites",100,2,2.69,16.4,NA,0.75,1.18,"SD",1.34350288425444,7.07106781186548,NA,0.0707106781186548,0.381837661840736,"Pb210 alpha, Ra226 gamma",NA,NA,NA,NA,NA,NA,NA,NA,"Local slatmarsh, seagrass, macroalgae, POM","0-1.22",0.595,NA,54.5,NA,NA,NA,NA,NA,NA,NA,45.5,NA,NA,NA,100,54.5,10.6066017177982,45.5,"SD",NA,10.6066017177982,NA,NA,NA,NA,NA,NA,NA,NA,10.6066017177982,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,2,"Only allochthonous % contributions reported","Bayesian Mixing Model (SimmR)","SimmR","Cadiz Bay","Spain",36.468,-6.249,"2",NA,NA,NA,NA,NA,"Zostera noltei",NA,"transect from high ellevation (slatmarsh) to subtidal (macroalgae)","Yes (Figure 1)","Stable isotopes (C13 & N15), although N15 excluded from mixing models due to excessive overlap","1 isotope (C15) SIMMR","Values are only presneted for allochthonous sources for each core hence have calculted local 9autochonous sources as 100- allochthonous sources","Table 4, Figure 5",NA
90,"Saavedra-Hortua et al. 2023",NA,"sediment","sediment traps","sediment traps","150","70","Temperate",2023,"2017","Seagrass",NA,"Among sites",110000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local tissues of mangrove, seagrass, terrestrial plants, macroalgae (Hormosira, Ulva), saltmarsh","0",0,NA,65.475,16.5,NA,NA,12.7,NA,5.4,NA,NA,NA,NA,NA,100.075,65.475,10.9247997693323,34.525,"SD",NA,10.9247997693323,8.9095454429505,NA,15.4856385079854,NA,NA,NA,4.45477272147525,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,4,"Only four classes reported","Bayesian Mixing Model","MixSIAR","South Australia","Australia",-35.4,137.666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","2 isotope, 6 sources, MixSIAR Bayesian",NA,NA,NA
97,"Fry et al 1977",NA,"sediment","surface scrape","Smith-McIntyre Grab",NA,NA,"Temperate",1977,"1977","Seagrass","Upper Laguna Madre","Among sites",50,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local seagrass","0-0.02",0.01,NA,70.97,NA,NA,NA,29.03,NA,NA,NA,NA,NA,NA,NA,100,70.97,4.7,29.03,"SD",NA,4.7,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,2,"Only reported seagrass and plankton","Not conducted/described","Not reported","Texas","USA",27.513933,-97.319067,"0.5",NA,NA,NA,NA,NA,"Halodule wrightii",NA,NA,NA,NA,NA,NA,NA,NA
106,"Eyre et al 2013",NA,"sediment","coring","Push Corer","500","95","Temperate",2019,"2006-2007","Seagrass","Wallis Camden Hastings","Among sites",24000,3,NA,NA,NA,NA,2.61366666666667,"SD",NA,NA,NA,NA,1.1437335062563,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous study same site","0-0.2",0.1,23.2,76.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.99,76.79,2.53,23.21,"SD",2.53,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,3,2,"No quant outputs. Isoerror two-marker models (13C, N:C) did not resolve, so used single-isotope 13C two source model for quant values","Mixing diagram","Ternary mixing diagrams","New South Wales","Australia",-31.624417,152.81065,NA,NA,NA,NA,NA,NA,"Zostera capricornii, Halophila australis, Ruppi megacarpa, Posidonia australis",NA,NA,NA,NA,"Isoerror calcs from C13 habitat-specific values in Figure 3","Directed to this paper (which has original mixing model data) from Sanders et al. 2019",NA,NA
108,"Stevenson et al 2022",NA,"sediment","coring","Percussion Corer (PVC pipe)","300","55","Temperate",2022,"2019-2020","Seagrass","Baltic Sea","Among sites",50000,4,NA,NA,7,NA,NA,"SD",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous collections algae, epiphytes, seagrass, phytoplankton","0-0.2",0.1,NA,1,56.375,NA,0,42.5,NA,NA,NA,NA,NA,NA,NA,99.875,1,0,99,"SD",NA,0,31.0305628910166,0,32.7795668061675,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,"Combined two macroalgae groups together here","Bayesian Mixing Model","MixSIAR","Baltic Sea","Germany",54.416667,11,"3",NA,NA,NA,NA,NA,NA,NA,NA,"Fig 1",NA,NA,NA,NA,NA
113,"Xu et al 2006",NA,"sediment","surface scrape","Not described",NA,NA,"Temperate",2006,"2002","Seagrass","Florida Bay","Among sites",5000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature value (-27 everglades terrestrial, -9 seagrass)","0-0.02",0.01,NA,70.1142857142857,NA,NA,NA,NA,NA,29.8857142857143,NA,NA,NA,NA,NA,100,70.1142857142857,15.9143989907911,29.8857142857143,"SD",NA,15.9143989907911,NA,NA,NA,NA,NA,NA,15.9143989907912,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Mixing model","Florida","USA",25.1,-80.75,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"Xu et al 2006",NA,"sediment","surface scrape","Not described",NA,NA,"Temperate",2006,"2002","Seagrass","Florida Bay","Among sites (lipids)",5000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature value (-27 everglades terrestrial, -9 seagrass)","0-0.02",0.01,NA,14.4857142857143,NA,NA,NA,NA,NA,28.5542857142857,NA,NA,NA,NA,NA,43.04,14.4857142857143,9.51803000825776,85.5142857142857,"SD",NA,9.51803000825776,NA,NA,NA,NA,NA,NA,11.124895291107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,"Linear mixing model","Mixing model","Florida","USA",25.1,-80.75,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proportion of seagrass/terr n-alkanes to total Alkanes","Also explores other lipids like taraxerol, sterols, FAs, but unclear seagrass/terr assignments",NA,NA,NA
116,"Fu et al. 2023",NA,"sediment","coring","Push Corer","300","94","Tropical",2023,"2021","Seagrass","Grand Exuma","Among sites",1000,10,NA,NA,NA,0.9,0.74,"SD",NA,NA,NA,0.3,0.21,"Pb210 alpha",0.285,"cm/yr",1.67032930884901,"SD",NA,NA,NA,NA,"Local seagrasses, cyanobacteria, macroalgae, epiphytes, phytoplankon, mangroves","0-0.15",0.075,14.5,26.75,NA,31.5,NA,NA,NA,NA,NA,NA,NA,27.5,NA,100.25,26.75,3.20156211871642,73.25,"SD",NA,3.20156211871642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model","Great Exuma","Great Exuma","Bahamas",22.583333,-75.916667,NA,NA,NA,NA,NA,NA,"Thalassia testudinum, Synringodium filiforme",NA,NA,NA,NA,"Combined algae (incl. Sagrassum) with phytoplankton in final mixing model…",NA,NA,NA
9,"Asplund et al. 2021","Bayesian model","Sediment","coring","Push Corer","600","47","Tropical",2021,"2016","Unvegetated",NA,"Among sites",2200,3,NA,NA,NA,1.31,0.21,"SD",NA,NA,NA,0.06,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove/terrestrial, SPOM, seagrass","0-0.25",0.125,46.42,18.96,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,NA,53.16,NA,NA,NA,"SD",9.16254877203936,7.5517415210003,NA,NA,NA,NA,NA,1.76,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","SIAR","Tsimipaika Bay","Madagasgar",-13.485555,48.441666,NA,NA,NA,NA,NA,NA,"Bare sediment",NA,"Spatial predictors examined (Fig. 5C)","Yes (Figure 2)","Stable isotopes (C13 & N15)","two isotope, 3 sources, SIAR","Modified mangroves (clearing) in some areas",NA,NA
11,"Billman et al. 2023","Bayesian model","Sediment","coring","Push Corer","300","50","Temperate",2023,"2021","Unvegetated",NA,"Among sites",2000,4,NA,NA,NA,1.5625,0.26,"SD",NA,NA,NA,0.10719919153924,0.174547032821147,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seagrass samples","0-0.25",0.125,NA,11.5,NA,NA,NA,88.5,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,"SD",NA,13.7719521734091,NA,NA,13.7719521734091,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","IsoError mixing model","Baltic Sea","Sweden",54.22555,16.0307,"2.0499999999999998",NA,NA,NA,NA,NA,"Zostera marina, Z nolti, Ruppia spp",NA,"Baltic coastline of Sweden",NA,"Stable isotope C13","Single isotope C13 mixing model","Only new data from ""This Study"" included here; their synthesis of other studies (which overlaps with ours) is not included.","supplementary files",NA
13,"Volkman et al 2008","Bayesian model","Sediment","surface scrape","Not described",NA,NA,"Temperate",2008,"1996","Unvegetated",NA,"Among sites",1900,5,NA,NA,NA,NA,4.76,"SD",NA,NA,NA,NA,3.52888084242016,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seagrass, riverine OM","0",0,NA,3.64,NA,NA,NA,81,NA,15.4,NA,NA,NA,NA,NA,100.04,NA,NA,NA,"SD",NA,3.43918595019228,NA,NA,9.74679434480896,NA,NA,NA,10.4546640309481,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,3,3,NA,"Biomarker rel. abund./ratio","Biomarker/Corg ratios","Western Australia","Australia",-34.99,117.42,"1.8",NA,NA,NA,NA,NA,"Ruppia magacarpa",NA,NA,NA,"Lipids, C13,","Lipid contents, mixing model","Sediments collected from Wilson Inlet in western Australia, lipid analyses (Fatty acids, sterols, phytol,LG alchols and C13 N15 data used to estimate organic content in 5 sediment samples (collected from the surface). C13 and long chain alcohol content (e.g., % content of n alkanols for seagrass contribution - Table 5)","Table 5",NA
18,"Bulmer etal 2020","Bayesian model","sediment","coring","Piston corer",NA,"38","Temperate",2020,"2016","Unvegetated","Tairua estuary","Within site",NA,15,NA,NA,7.72,1.31,0.190839694656489,"SD",NA,NA,0.1965,0.04,0.295647583679956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",0.05,15,11,NA,14,NA,NA,59,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,"SD",10,7,NA,NA,NA,NA,10,13,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Tairua estuary","New Zealand",-37.01667,175.85,NA,NA,NA,NA,NA,NA,"Rhizophora",NA,NA,"451.5 Ha Unvegettated",NA,"SIMMR mixed models",NA,"Table 2","Reported seston, moved to SPOM"
21,"Briand et al. 2015","Bayesian model","sediment","surface scrape","Not described",NA,NA,"Tropical",2015,"2010","Unvegetated",NA,"Among sites",7000,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sampled 27 macroalgae taxa (incl. Sargassum), Cymodocea, Halodule, Halophila, Synrogodium, Avicennia, Rhizophora","0-0.03",0.015,14.6,7.6,37.9,NA,NA,NA,14.9,13.8,NA,NA,3.3,NA,NA,77.5,NA,NA,NA,"95% CI",10.2,13.5,3.95040500033436,NA,NA,11.4,NA,5.2,10.6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,6,NA,"Bayesian Mixing Model","Bayesian SIAR","Noumea","New Caledonia",-22.27631,166.4572,"2.5",NA,26,NA,NA,NA,"Sampled 27 macroalgae taxa (incl. Sargassum), Cymodocea, Halodule, Halophila, Synrogodium, Avicennia, Rhizophora",NA,NA,NA,"Stable isotopes (C13 & N15)","two isotopes, six sources; Bayesian SIAR","Poorly executed study, misclassified algae into wrong families (e.g., Lobophora into Rhodophytes)",NA,NA
22,"Dahl et al. 2022a","Bayesian model","sediment","coring","Push Corer","1500","65","Tropical",2022,"2018","Unvegetated","Stone Town","Within core",NA,1,6.37802463768116,NA,NA,1.46053953488372,0.338804347826087,NA,2.57543652759175,NA,NA,0.218241245620918,0.0903771444667622,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local seagrass, mangrove, terrestrial plant material","0-0.3",0.15,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"SD",8.63625545273515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,1,"Seagrass only reported for one site","Bayesian Mixing Model (SimmR)","SimmR v3.6.3","Zanzibar","Tanzania",-6.163939,39.197931,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove area loss","Yes","Stable isotopes (C13 & N15)","1 Isotope, two sources SimmR mixing model",NA,NA,NA
30,"Goni et al. 2003","Bayesian model","sediment","surface scrape","Van Veen Grab",NA,NA,"Temperate",2003,"1998","Unvegetated",NA,"Among sites",20,30,NA,NA,NA,NA,2.3,"SD",NA,NA,NA,NA,1.8,NA,0.27,"cm/yr",NA,NA,NA,NA,NA,NA,"terrigenous plants riverine and marine phyoplankton","0.05",0.025,NA,NA,NA,NA,NA,33.7,NA,66.4,NA,NA,NA,NA,NA,100.1,NA,NA,NA,"SD",NA,NA,NA,NA,19.8,NA,NA,NA,19.8,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,2,"Marine and freshwater classes cmobined here","Mass balance model","Mass balance model (Gordon & Goni 2003)","South Carolina","USA",33.17,-79.255,"4.2",NA,NA,NA,NA,NA,"Spartina alterniflora",NA,"estiarine embayment with marshlands on shorelines","Yes Fig 1 92km2 slat marsh around Bay","Stable isotope C13 and C/N","mass balance model",NA,"Table 4 and 6",NA
43,"Serrano et al. 2016c","Bayesian model","sediment","coring","Push Corer",NA,"65","Temperate",2016,NA,"Unvegetated","Cockburn Sound 4m","Within core",NA,1,NA,NA,1,1.22,0.06,"SD",NA,NA,0.2,0.02,0,"Pb 210 over past 100 years nb C14 estimates also presented in paper",0.16,"cm/yr",0.18,"SD",NA,NA,0.3,"SE","Posidonia australis (detritus), epiphytes, macroalgae, seston","0-0.75",0.375,NA,20,22,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,"95%CI",NA,10,29.5,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Bayesian Mixing Model","MixSIAR","Western Australia","Australia",-32.156,115.669,"4",NA,NA,NA,NA,NA,"Posidonia australis",NA,"Sheltered marine embayment surrounded by sjhllow sand banks and seagrass meadows",NA,"Stable isotope (C13)","One-isotope (C13) three-source mixing models (SIAR)",NA,"Table 1 & 4","Reported seston, moved to SPOM"
45,"Greiner et al. 2016","Bayesian model","sediment","coring","Push Corer","200","100","Temperate",2016,NA,"Unvegetated",NA,"Among sites",22000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zostera marina, phytobenthos/seston, macroalgae (Gracilaria, Ulva, Codium, Ectocarpus, Enteromorpha, Fucus, Polysiphonia, Scytosiphon)","0-0.1",0.05,NA,40.5,2.75,NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,97.75,NA,NA,NA,"SD",NA,14.8492424049175,1.76776695296637,12.0208152801713,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","Bayesian mixing models","Virginia","USA",37.413056,-75.76,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Three-source, two-tracer Bayesian mixing models","Seagrass meadow restoration, conducted litterbag decay experiments with macroalgae [Gracilaria, Ulva] and seagrass [Zostera])",NA,NA
49,"Jankowska et al. 2016","Bayesian model","sediment","coring","Push Corer",NA,"20","Temperate",2016,"2012-2013","Unvegetated",NA,"Among sites",3000,3,NA,NA,NA,NA,0.045,"SD",NA,NA,NA,NA,0.00866025403784441,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POM, Zostera marine, Ruppia, Potamogeton, Cladophora, Polysiphonia, phtyobenthos epiphytes","0.02",0.01,NA,11.6666666666667,NA,NA,36.1666666666667,NA,41.3333333333333,NA,NA,NA,NA,NA,NA,89.1666666666667,NA,NA,NA,"SD",NA,4.16333199893227,NA,1.25830573921179,NA,NA,NA,2.3094010767585,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,10,3,"Only 3 source groups reported","Bayesian Mixing Model","Bayesian SIAR","Gulf of Gdansk","Poland",54.666667,18.833333,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian SIAR mixing model",NA,NA,NA
54,"Thimdee et al. 2003","Bayesian model","sediment","coring","Push Corer","300","40","Tropical",2003,"1998","Unvegetated",NA,"Among sites",1200,3,NA,NA,NA,NA,0.96,"SD",NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves (Avicennia, Ceriops, Lumnitzera, Rhizophora, Xylocarpus), seagrass, algae (Gracilaria, Laurencia), plankton","0-0.3",0.15,NA,NA,98.6,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,"SD",NA,NA,1.9,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,0,2,NA,"Not conducted/described","Not conducted","Chantaburi province","Thailand",12.55,101.916667,"1.5",NA,NA,NA,NA,NA,"Avicennia, Ceriops, Lumnitzera, Rhizophora, Xylocarpus, Enhalus acoroides, Gracilaria, Laurencia",NA,"Shrimp production ponds border study sites (higher elevation)","Yes (Figure 1)","Stable isotope (C13)","No mixing model results presented by authors","Mixing model results calculated by CJF using IsoError from US EPA website https://www.epa.gov/eco-research/stable-isotope-mixing-models-estimating-source-proportions",NA,NA
56,"Samper-Villarreal et al. 2018","Bayesian model","sediment","coring","Push Corer","2700","56","Temperate",2018,"2013","Unvegetated",NA,"Among sites",16000,2,2.49462125506073,NA,8.7,NA,1.51231480769231,"SD",0.646526624390101,NA,12.0208152801713,NA,1.0689053088126,"Pb210 gamma & alpha, C14",0.04,"cm/yr",NA,NA,NA,NA,NA,NA,"Seagrass, mangroves, macroalgae","0-1.3",0.65,48.4818805093046,25.647293206304,25.8570029382958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5042961445998,NA,NA,NA,"SD",0,2.99231519189483,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","SIAR","Queensland","Australia",-27,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Only reported seagrass; Two-isotope, three-source mixing models",NA,NA,NA
58,"Kuramoto & Minagawa 2001","Bayesian model","sediment","surface scrape","Not described",NA,NA,"Tropical",2001,NA,"Unvegetated","Ko Taribong","Among sites",800,8,NA,NA,NA,NA,0.30325,"SD",NA,NA,NA,NA,0.371443420032869,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves, SPOM","0",0,23,36,NA,NA,NA,NA,19,22,NA,NA,NA,NA,NA,77,NA,NA,NA,"95%CI",38,11.25,NA,NA,NA,NA,NA,26,22,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Mass balance model","Mass balance with Monte Carlo simulation (Minagawa 1992)","Ko Talibong","Thailand",7.2,99.266667,NA,NA,NA,NA,NA,NA,"Avicennia alba, Rhizophora apiculata, Duabanga gradiflora, Nypa fruiticans",NA,NA,NA,"Stable isotopes (C13 & N15)","Two-isotope mixing models",NA,NA,NA
58,"Kuramoto & Minagawa 2001","Bayesian model","sediment","surface scrape","Not described",NA,NA,"Tropical",2001,NA,"Unvegetated","Ko Muk","Among sites",200,9,NA,NA,NA,NA,0.0862222222222222,"SD",NA,NA,NA,NA,0.0424758101093369,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove leaves, SPOM","0",0,23,42,NA,NA,NA,NA,13,22,NA,NA,NA,NA,NA,77,NA,NA,NA,"95%CI",33,11.25,NA,NA,NA,NA,NA,19,28,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Mass balance model","Mass balance with Monte Carlo simulation (Minagawa 1992)","Ko Muk","Thailand",7.2,99.266667,NA,NA,NA,NA,NA,NA,"Avicennia alba, Rhizophora apiculata, Duabanga gradiflora, Nypa fruiticans",NA,NA,NA,"Stable isotopes (C13 & N15)","Two-isotope mixing models",NA,NA,NA
60,"Saavedra-Hortua et al. 2020","Bayesian model","sediment","sediment traps","sediment traps",NA,NA,"Tropical",2020,"2017","Unvegetated",NA,"Among sites",15000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local mangroves, seagrass, macroalgae, plankton/SPOM, terrestrial trees","0-0.01",0.005,39,NA,18.25,NA,NA,NA,28.75,14.5,NA,NA,NA,NA,NA,61.5,NA,NA,NA,"SD",1.4142135623731,NA,0.353553390593274,NA,NA,NA,NA,0.353553390593274,0.707106781186548,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model","MixSIAR","Singapore","Singapore",1.443333,103.861944,NA,23,NA,32,NA,NA,"Rhizophora apiculata, Avicennia alba, Bruguiera cylindrica, Avicennia rumphiana, Nypa fruticans, Cymodocea rotundata, Halodule uninervis, Halophila ovalis, Ulva, Dictyota",NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","Two-isotope, five-source Bayesian MixSIAR",NA,NA,NA
64,"Ricart et al. 2015","Bayesian model","sediment","coring","Push Corer","200","50","Tropical",2015,"2013","Unvegetated","Pelican Banks","Among sites",50,3,NA,NA,NA,NA,1.49,"SD",NA,NA,NA,NA,0.0458257569495584,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Literature values","0-0.1",0.05,55.9,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA,"SD",0.854400374531754,0.854400374531754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,"Not conducted/described","Not conducted","Queensland","Australia",-23.866667,151.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotope (C13)","No mixing model result from authors, calculated via IsoError matrix",NA,NA,NA
66,"Ray et al. 2023","Bayesian model","sediment","coring","Push Corer","500","52","Tropical",2023,"2019","Unvegetated","Panay Island - BS","Within core",NA,1,NA,NA,NA,1.33,0.078,"SD",NA,NA,NA,0.09,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizophora apiculata, marine POM, river POM, microphytobenthos","0-0.5",0.25,18,NA,NA,NA,6,NA,18,58,NA,NA,NA,NA,NA,82,NA,NA,NA,"SD",14,NA,NA,9,NA,NA,NA,21,28,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,4,4,NA,"Bayesian Mixing Model","Binary mixing model Bayesian RGtk2, Splancs","Panay Island","Philippines",11.716667,122.383333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","Binary source mixing model, Bayesian RGtk2, Splancs",NA,NA,NA
